datetime,portfolio_value,cash,return
2020-01-02 09:30:00-05:00,100000.0,100000.0,
2020-01-03 09:30:00-05:00,98578.04511833191,-6216.852056503296,-0.01421954881668086
2020-01-04 09:30:00-05:00,102527.91508102417,-6216.852056503296,0.040068454978498425
2020-01-06 09:30:00-05:00,102527.91508102417,-6216.852056503296,0.0
2020-01-07 09:30:00-05:00,102520.51314926147,-6216.852056503296,-7.219430685634354e-05
2020-01-08 09:30:00-05:00,107687.42879104614,-6216.852056503296,0.050398846855770785
2020-01-09 09:30:00-05:00,110723.88766098022,-6216.852056503296,0.028196966944265656
2020-01-10 09:30:00-05:00,116500.56568336487,-6216.852056503296,0.052171921925934894
2020-01-11 09:30:00-05:00,112721.03196907043,-6216.852056503296,-0.03244219195095388
2020-01-13 09:30:00-05:00,112721.03196907043,-6216.852056503296,0.0
2020-01-14 09:30:00-05:00,115611.8535938263,-6216.852056503296,0.025645805172801017
2020-01-15 09:30:00-05:00,128142.8014125824,-6216.852056503296,0.10838808849809212
2020-01-16 09:30:00-05:00,124563.23286247253,-6216.852056503296,-0.027934214880980357
2020-01-17 09:30:00-05:00,115673.56931877136,-6216.852056503296,-0.07136667329047286
2020-01-18 09:30:00-05:00,119095.14052772522,-6216.852056503296,0.02957954206050939
2020-01-21 09:30:00-05:00,119095.14052772522,-6216.852056503296,0.0
2020-01-22 09:30:00-05:00,124684.19229316711,-6216.852056503296,0.04692930157079567
2020-01-23 09:30:00-05:00,134963.72390937805,-6216.852056503296,0.08244454591357431
2020-01-24 09:30:00-05:00,133077.67214393616,-6216.852056503296,-0.013974508933291552
2020-01-25 09:30:00-05:00,134652.67326545715,-6216.852056503296,0.011835201924914163
2020-01-27 09:30:00-05:00,134652.67326545715,-6216.852056503296,0.0
2020-01-28 09:30:00-05:00,127582.41584968567,-6216.852056503296,-0.05250736761707675
2020-01-29 09:30:00-05:00,134124.38157463074,-6216.852056503296,0.05127639009949969
2020-01-30 09:30:00-05:00,135901.81987953186,-6216.852056503296,0.013252164028895175
2020-01-31 09:30:00-05:00,149906.55729103088,-6216.852056503296,0.10305040376878916
2020-02-01 09:30:00-05:00,151777.81931877136,-6216.852056503296,0.012482856397719733
2020-02-03 09:30:00-05:00,151777.81931877136,-6216.852056503296,0.0
2020-02-04 09:30:00-05:00,160094.751329422,-6216.852056503296,0.054796755204283176
2020-02-05 09:30:00-05:00,211756.53406715393,-6216.852056503296,0.3226950434585396
2020-02-06 09:30:00-05:00,197018.5957622528,-6216.852056503296,-0.06959850551873559
2020-02-07 09:30:00-05:00,166570.05729103088,-6216.852056503296,-0.15454652061354113
2020-02-08 09:30:00-05:00,174131.5967388153,-6216.852056503296,0.045395550501450055
2020-02-10 09:30:00-05:00,174131.5967388153,-6216.852056503296,0.0
2020-02-11 09:30:00-05:00,191276.47656822205,-6216.852056503296,0.0984593270291021
2020-02-12 09:30:00-05:00,183571.77189445496,-6216.852056503296,-0.04028046110008243
2020-02-13 09:30:00-05:00,185813.32827186584,-6216.852056503296,0.01221079011374182
2020-02-14 09:30:00-05:00,176918.72068977356,-6216.852056503296,-0.04786851225805755
2020-02-15 09:30:00-05:00,188121.53028678894,-6216.852056503296,0.06332178727800919
2020-02-18 09:30:00-05:00,188121.53028678894,-6216.852056503296,0.0
2020-02-19 09:30:00-05:00,201546.13423347473,-6216.852056503296,0.07136133714317627
2020-02-20 09:30:00-05:00,221764.51084327698,-6216.852056503296,0.10031637017845707
2020-02-21 09:30:00-05:00,218913.1991481781,-6216.852056503296,-0.012857384999324428
2020-02-22 09:30:00-05:00,217686.27245521545,-6216.852056503296,-0.00560462638953152
2020-02-24 09:30:00-05:00,217686.27245521545,-6216.852056503296,0.0
2020-02-25 09:30:00-05:00,200904.28504371643,-6216.852056503296,-0.07709253882764511
2020-02-26 09:30:00-05:00,203372.9422931671,-6216.852056503296,0.012287728203076886
2020-02-27 09:30:00-05:00,186956.31931877136,-6216.852056503296,-0.08072176558635213
2020-02-28 09:30:00-05:00,173995.81931877136,-6216.852056503296,-0.06932367970885
2020-02-29 09:30:00-05:00,149235.08624839783,-6216.852056503296,-0.14230648280698233
2020-03-02 09:30:00-05:00,149235.08624839783,-6216.852056503296,0.0
2020-03-03 09:30:00-05:00,169369.52721214294,-6216.852056503296,0.13491760865291336
2020-03-04 09:30:00-05:00,192510.81931877136,-6216.852056503296,0.1366319696791909
2020-03-05 09:30:00-05:00,182379.41109275818,-6216.852056503296,-0.052627734180679786
2020-03-06 09:30:00-05:00,172457.82785606384,-6216.852056503296,-0.05440078557797412
2020-03-07 09:30:00-05:00,164121.1479434967,-6216.852056503296,-0.04834039727976325
2020-03-09 09:30:00-04:00,143233.75818443298,-6216.852056503296,-0.12726811883045563
2020-03-10 09:30:00-04:00,156574.44061088562,-6216.852056503296,0.09313923334521945
2020-03-11 09:30:00-04:00,151827.18907356262,-6216.852056503296,-0.03031945392109514
2020-03-12 09:30:00-04:00,137185.53238487244,-6216.852056503296,-0.09643632855243123
2020-03-13 09:30:00-04:00,140668.81931877136,-6216.852056503296,0.02539106619586251
2020-03-14 09:30:00-04:00,140668.81931877136,-6216.852056503296,0.0
2020-03-16 09:30:00-04:00,109687.04511833191,-6216.852056503296,-0.22024620914910265
2020-03-17 09:30:00-04:00,102406.9485874176,-6216.852056503296,-0.06637152567160909
2020-03-18 09:30:00-04:00,89814.27798080444,-6216.852056503296,-0.12296695468729535
2020-03-19 09:30:00-04:00,86284.08624839783,-6216.852056503296,-0.039305462469576447
