,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,META,MSFT,TSLA,META,MSFT,TSLA,META,MSFT,TSLA,META,MSFT,TSLA,META,MSFT,TSLA,META,MSFT,TSLA
Date,,,,,,,,,,,,,,,,,,
2020-01-02,209.77999877929688,155.4220428466797,28.68400001525879,209.77999877929688,160.6199951171875,28.68400001525879,209.7899932861328,160.72999572753906,28.713333129882812,206.27000427246094,158.3300018310547,28.11400032043457,206.75,158.77999877929688,28.299999237060547,12077100,22622100,142981500
2020-01-03,208.6699981689453,153.4867706298828,29.534000396728516,208.6699981689453,158.6199951171875,29.534000396728516,210.39999389648438,159.9499969482422,30.266666412353516,206.9499969482422,158.05999755859375,29.128000259399414,207.2100067138672,158.32000732421875,29.366666793823242,11188400,21116200,266677500
2020-01-06,212.60000610351562,153.88348388671875,30.1026668548584,212.60000610351562,159.02999877929688,30.1026668548584,212.77999877929688,159.10000610351562,30.104000091552734,206.52000427246094,156.50999450683594,29.333332061767578,206.6999969482422,157.0800018310547,29.364667892456055,17058900,20813700,151995000
2020-01-07,213.05999755859375,152.48045349121094,31.270666122436523,213.05999755859375,157.5800018310547,31.270666122436523,214.5800018310547,159.6699981689453,31.441999435424805,211.75,157.32000732421875,30.224000930786133,212.82000732421875,159.32000732421875,30.760000228881836,14912400,21634100,268231500
2020-01-08,215.22000122070312,154.90919494628906,32.80933380126953,215.22000122070312,160.08999633789062,32.80933380126953,216.24000549316406,160.8000030517578,33.232666015625,212.61000061035156,157.9499969482422,31.215333938598633,213.0,158.92999267578125,31.579999923706055,13475000,27746500,467164500
2020-01-09,218.3000030517578,156.84449768066406,32.089332580566406,218.3000030517578,162.08999633789062,32.089332580566406,218.3800048828125,162.22000122070312,33.253334045410156,216.27999877929688,161.02999877929688,31.524667739868164,217.5399932861328,161.83999633789062,33.13999938964844,12642800,21385000,426606000
2020-01-10,218.05999755859375,156.11874389648438,31.876667022705078,218.05999755859375,161.33999633789062,31.876667022705078,219.8800048828125,163.22000122070312,32.3293342590332,217.4199981689453,161.17999267578125,31.579999923706055,219.1999969482422,162.82000732421875,32.11933135986328,12119400,20725900,194392500
2020-01-13,221.91000366210938,157.99594116210938,34.990665435791016,221.91000366210938,163.27999877929688,34.990665435791016,221.97000122070312,163.30999755859375,35.04199981689453,219.2100067138672,161.25999450683594,32.79999923706055,219.60000610351562,161.75999450683594,32.900001525878906,14463400,21626500,397764000
2020-01-14,219.05999755859375,156.88319396972656,35.861331939697266,219.05999755859375,162.1300048828125,35.861331939697266,222.3800048828125,163.60000610351562,36.49399948120117,218.6300048828125,161.72000122070312,34.99333190917969,221.61000061035156,163.38999938964844,36.284000396728516,13288900,23477400,434943000
2020-01-15,221.14999389648438,157.89920043945312,34.56666564941406,221.14999389648438,163.17999267578125,34.56666564941406,221.67999267578125,163.94000244140625,35.85599899291992,220.13999938964844,162.57000732421875,34.452667236328125,220.61000061035156,162.6199951171875,35.31733322143555,10036500,21417900,260532000
2020-01-16,221.77000427246094,160.7924346923828,34.232666015625,221.77000427246094,166.1699981689453,34.232666015625,222.6300048828125,166.24000549316406,34.297332763671875,220.38999938964844,164.02999877929688,32.81133270263672,222.57000732421875,164.35000610351562,32.91666793823242,10015300,23865400,326050500
2020-01-17,222.13999938964844,161.6923370361328,34.03333282470703,222.13999938964844,167.10000610351562,34.03333282470703,222.2899932861328,167.47000122070312,34.37799835205078,220.52999877929688,165.42999267578125,33.54399871826172,222.02999877929688,167.4199981689453,33.840667724609375,15905900,34371700,204436500
2020-01-21,221.44000244140625,161.11172485351562,36.47999954223633,221.44000244140625,166.5,36.47999954223633,222.3699951171875,168.19000244140625,36.571998596191406,219.1199951171875,166.42999267578125,35.227333068847656,222.16000366210938,166.67999267578125,35.349998474121094,14275800,29517200,267052500
2020-01-22,221.32000732421875,160.33766174316406,37.97066879272461,221.32000732421875,165.6999969482422,37.97066879272461,222.75,167.49000549316406,39.633331298828125,221.27999877929688,165.67999267578125,37.27333450317383,222.30999755859375,167.39999389648438,38.125999450683594,12212800,24138800,470535000
2020-01-23,219.75999450683594,161.3246612548828,38.14666748046875,219.75999450683594,166.72000122070312,38.14666748046875,221.49000549316406,166.8000030517578,38.79999923706055,219.27000427246094,165.27000427246094,37.040000915527344,220.75,166.19000244140625,37.616668701171875,11195000,19680800,294765000
2020-01-24,217.94000244140625,159.69900512695312,37.654666900634766,217.94000244140625,165.0399932861328,37.654666900634766,221.77999877929688,167.52999877929688,38.25733184814453,216.11000061035156,164.4499969482422,36.95066833496094,220.8000030517578,167.50999450683594,38.04199981689453,11905800,24918100,215304000
2020-01-27,214.8699951171875,157.02835083007812,37.201332092285156,214.8699951171875,162.27999877929688,37.201332092285156,216.05999755859375,163.3800048828125,37.62933349609375,212.5,160.1999969482422,35.95199966430664,213.10000610351562,161.14999389648438,36.132667541503906,13810700,32078100,204121500
2020-01-28,217.7899932861328,160.10543823242188,37.793331146240234,217.7899932861328,165.4600067138672,37.793331146240234,218.74000549316406,165.75999450683594,38.45399856567383,213.52000427246094,163.07000732421875,37.2053337097168,216.13999938964844,163.77999877929688,37.89933395385742,13413800,24899900,176827500
2020-01-29,223.22999572753906,162.60189819335938,38.732666015625,223.22999572753906,168.0399932861328,38.732666015625,224.1999969482422,168.75,39.31999969482422,218.4499969482422,165.69000244140625,37.82866668701172,221.44000244140625,167.83999633789062,38.37933349609375,33181300,34754500,267022500
2020-01-30,209.52999877929688,167.1885223388672,42.72066879272461,209.52999877929688,172.77999877929688,42.72066879272461,211.42999267578125,174.0500030517578,43.391998291015625,204.75,170.7899932861328,41.20000076293945,206.52999877929688,174.0500030517578,42.16133117675781,48775500,51597500,435085500
2020-01-31,201.91000366210938,164.72105407714844,43.371334075927734,201.91000366210938,170.22999572753906,43.371334075927734,208.69000244140625,172.39999389648438,43.53333282470703,201.05999755859375,169.5800018310547,42.167999267578125,208.42999267578125,172.2100067138672,42.66666793823242,31359900,36142700,235789500
2020-02-03,204.19000244140625,168.7367706298828,52.0,204.19000244140625,174.3800048828125,52.0,205.13999938964844,174.5,52.409332275390625,202.5,170.39999389648438,44.90133285522461,203.44000244140625,170.42999267578125,44.91266632080078,15495600,30107000,705975000
2020-02-04,209.8300018310547,174.2909698486328,59.137332916259766,209.8300018310547,180.1199951171875,59.137332916259766,210.60000610351562,180.63999938964844,64.59933471679688,205.1999969482422,176.30999755859375,55.59199905395508,206.6199951171875,177.13999938964844,58.86399841308594,19628900,36433300,914082000
2020-02-05,210.11000061035156,174.078125,48.97999954223633,210.11000061035156,179.89999389648438,48.97999954223633,212.72999572753906,184.1999969482422,56.39866638183594,208.7100067138672,178.41000366210938,46.94066619873047,212.50999450683594,184.02999877929688,54.88399887084961,12538200,39186300,726357000
2020-02-06,210.85000610351562,177.6874237060547,49.930667877197266,210.85000610351562,183.6300048828125,49.930667877197266,211.19000244140625,183.82000732421875,53.05533218383789,209.33999633789062,180.05999755859375,45.79999923706055,210.47000122070312,180.97000122070312,46.66133117675781,10567500,27751400,598212000
2020-02-07,212.3300018310547,177.93894958496094,49.871334075927734,212.3300018310547,183.88999938964844,49.871334075927734,212.82000732421875,185.6300048828125,51.31666564941406,209.92999267578125,182.47999572753906,48.66666793823242,210.3000030517578,182.85000610351562,48.70333480834961,12242500,33529100,255952500
2020-02-10,213.05999755859375,182.59332275390625,51.41866683959961,213.05999755859375,188.6999969482422,51.41866683959961,213.8000030517578,188.83999633789062,54.66600036621094,210.66000366210938,183.25,50.15999984741211,211.52000427246094,183.5800018310547,53.33333206176758,11856400,35844300,370338000
2020-02-11,207.19000244140625,178.47119140625,51.62533187866211,207.19000244140625,184.44000244140625,51.62533187866211,210.86000061035156,190.6999969482422,52.23400115966797,206.50999450683594,183.5,50.53333282470703,210.19000244140625,190.64999389648438,51.25266647338867,25030800,53159900,175462500
2020-02-12,210.75999450683594,178.73245239257812,51.15266799926758,210.75999450683594,184.7100067138672,51.15266799926758,211.22000122070312,185.85000610351562,52.650001525878906,207.39999389648438,181.85000610351562,50.891334533691406,207.85000610351562,185.5800018310547,51.858001708984375,13813700,47062900,180337500
2020-02-13,213.13999938964844,177.7648468017578,53.599998474121094,213.13999938964844,183.7100067138672,53.599998474121094,214.3300018310547,186.22999572753906,54.53333282470703,209.17999267578125,182.8699951171875,49.0,209.52000427246094,183.0800018310547,49.45600128173828,15396600,35295800,394339500
2020-02-14,214.17999267578125,179.35174560546875,53.33533477783203,214.17999267578125,185.35000610351562,53.33533477783203,214.92999267578125,185.41000366210938,54.198001861572266,212.64999389648438,182.64999389648438,52.366668701171875,214.0,183.25,52.4813346862793,10741700,23149500,235405500
2020-02-18,217.8000030517578,181.17088317871094,57.22666549682617,217.8000030517578,187.22999572753906,57.22666549682617,217.97999572753906,187.6999969482422,57.33333206176758,213.39999389648438,185.5,55.490665435791016,213.5500030517578,185.61000061035156,56.106666564941406,15609200,27792200,245725500
2020-02-19,217.49000549316406,181.71424865722656,61.16133117675781,217.49000549316406,187.27999877929688,61.16133117675781,218.32000732421875,188.17999267578125,62.98533248901367,216.11000061035156,186.47000122070312,60.06800079345703,217.99000549316406,188.05999755859375,61.56666564941406,12135100,29997500,381345000
2020-02-20,214.5800018310547,178.9392852783203,59.96066665649414,214.5800018310547,184.4199981689453,59.96066665649414,218.77000427246094,187.25,60.79999923706055,212.9499969482422,181.10000610351562,57.3293342590332,216.52000427246094,186.9499969482422,60.79666519165039,13109200,36862400,264523500
2020-02-21,210.17999267578125,173.2825164794922,60.06666564941406,210.17999267578125,178.58999633789062,60.06666564941406,214.24000549316406,183.5,60.87066650390625,208.8300018310547,177.25,58.6966667175293,213.47999572753906,183.1699981689453,60.46533203125,14092300,48572600,214722000
2020-02-24,200.72000122070312,165.81134033203125,55.58599853515625,200.72000122070312,170.88999938964844,55.58599853515625,203.64999389648438,174.5500030517578,57.56666564941406,198.1699981689453,163.22999572753906,54.813331604003906,201.8000030517578,167.77000427246094,55.93333435058594,23080100,68311100,227883000
2020-02-25,196.77000427246094,163.07516479492188,53.32733154296875,196.77000427246094,168.07000732421875,53.32733154296875,203.5,174.83999633789062,57.106666564941406,195.9499969482422,167.64999389648438,52.46666717529297,202.25,174.1999969482422,56.599998474121094,21433500,68073300,259357500
2020-02-26,197.1999969482422,165.1127471923828,51.91999816894531,197.1999969482422,170.1699981689453,51.91999816894531,201.2100067138672,173.25999450683594,54.22066879272461,195.49000549316406,168.2100067138672,51.740665435791016,197.19000244140625,169.7100067138672,52.16666793823242,16524500,56206100,211282500
2020-02-27,189.75,153.47906494140625,45.266666412353516,189.75,158.17999267578125,45.266666412353516,195.8800048828125,167.02999877929688,49.31800079345703,189.5,157.97999572753906,44.599998474121094,191.82000732421875,163.32000732421875,48.66666793823242,21682600,93174900,364158000
2020-02-28,192.47000122070312,157.19525146484375,44.53266525268555,192.47000122070312,162.00999450683594,44.53266525268555,192.74000549316406,163.7100067138672,46.03466796875,181.82000732421875,152.0,40.768001556396484,182.6999969482422,152.41000366210938,41.97999954223633,32568900,97012700,363343500
